ID;ProprieteSol.SerieSol;SerieSol;cansis;m.3a;m.3b;m.3c
381;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
382;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
383;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
384;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
385;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
386;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
387;Fleury;Fleury;FLY;0,677422161;0,023461079;0,299116761
388;Joseph;Joseph;JSH;0,089323944;0,023811367;0,886864689
389;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
390;OrmSaintown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
391;Rubicon;Rubicon;RBC;0,300404275;0,070130091;0,629465635
392;Saint-Aim;Saint-Aim;SIT;0,921568737;0,012925924;0,065505339
393;Courval;Courval;CUV;0,862671121;0,041640238;0,095688641
394;Du Jour/Sainte-Rosalie;Du Jour;DJR;0,761231978;0,087279355;0,151488667
395;Saint-Aim;Saint-Aim;SIT;0,921568737;0,012925924;0,065505339
396;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
397;Joseph;Joseph;JSH;0,089323944;0,023811367;0,886864689
398;OrmSaintown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
399;Botreaux;Botreaux;BUX;0,193914411;0,106292002;0,699793587
400;Rideau;Rideau;RDU;0,874411089;0,042204903;0,083384008
401;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
402;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
403;;;;;;
404;Sainte-Rosalie/Saint-Urbain;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
405;;;;;;
406;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
407;;;;;;
408;Sainte-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
409;Sainte-Hlne;Sainte-Hlne;SAL;0,206485913;0,623046572;0,170467515
410;;;;;;
411;;;;;;
412;;;;;;
413;Fleury;Fleury;FLY;0,677422161;0,023461079;0,299116761
414;Bedford/Sainte-Hlne;Bedford;BDF;0,667311083;0,045619094;0,287069823
415;;;;;;
416;;;;;;
417;Rubicon/Yamaska;Rubicon;RBC;0,300404275;0,070130091;0,629465635
418;Saint-Anicet;Saint-Anicet;SCE;0,7904148;0,038249371;0,171335829
419;Providence/Sainte-Brigide/Boucherville;Providence;PVD;0,772014353;0,08546004;0,142525607
420;;;;;;
421;;;;;;
422;;;;;;
423;;;;;;
424;;;;;;
425;;;;;;
426;;;;;;
427;;;;;;
428;;;;;;
429;;;;;;
430;;;;;;
431;;;;;;
432;;;;;;
433;;;;;;
434;;;;;;
435;;;;;;
436;;;;;;
437;;;;;;
438;;;;;;
439;;;;;;
440;;;;;;
441;;;;;;
442;;;;;;
443;;;;;;
444;;;;;;
445;;;;;;
446;;;;;;
447;Upland;Upland;UPD;0,000343146;0,998583037;0,001073818
448;;;;;;
449;;;;;;
450;Upland;Upland;UPD;0,000343146;0,998583037;0,001073818
451;Rideau;Rideau;RDU;0,874411089;0,042204903;0,083384008
452;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
453;;;;;;
454;;;;;;
455;Bedford/Saint-Patrice;Bedford;BDF;0,667311083;0,045619094;0,287069823
456;;;;;;
457;Aston;Aston;AST;0,942881269;0,012807158;0,044311574
458;Yamaska;Yamaska;YAS;0,974391908;0,006205082;0,019403011
459;Fleury/Saint-Aim;Fleury;FLY;0,677422161;0,023461079;0,299116761
460;;;;;;
461;;;;;;
462;;;;;;
463;Chambly;Chambly;CHY;0,843709455;0,050838208;0,105452336
464;Saint-Damase / Saint-Rosalie;Saint-Damase;SDM;0,935871052;0,014359873;0,049769075
465;Saint-Damase / Henriville;Saint-Damase;SDM;0,935871052;0,014359873;0,049769075
466;Saint-Jude, Sainte-Rosalie;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
467;Corbin;Corbin;CBN;0,931814989;0,017539395;0,050645616
468;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
469;Providence/Saint-Urbain;Providence;PVD;0,772014353;0,08546004;0,142525607
470;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
471;Massueville;Massueville;MSU;0,078319842;0,053518056;0,868162103
472;;;;;;
473;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
474;Massueville;Massueville;MSU;0,078319842;0,053518056;0,868162103
475;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
476;Saint-Jude, Sainte-Rosalie;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
477;Fleury;Fleury;FLY;0,677422161;0,023461079;0,299116761
478;Saint-Amable/Saint-Samuel;Saint-Amable/Saint-Samuel;SBL;0,030307837;0,145843365;0,823848798
479;Achigan;Achigan;AHG;0,002921473;0,003216238;0,99386229
480;Courval/Sainte-Rosalie;Courval;CUV;0,862671121;0,041640238;0,095688641
481;;;;;;
482;Fleury;Fleury;FLY;0,677422161;0,023461079;0,299116761
483;;;;;;
484;Joseph;Joseph;JSH;0,089323944;0,023811367;0,886864689
485;;;;;;
486;Kierkoski;Kierkoski;KRY;0,882803555;0,034643168;0,082553277
487;;;;;;
488;;;;;;
489;Sainte-Rosalie/Saint-Anicet;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
490;Kierkoski;Kierkoski;KRY;0,882803555;0,034643168;0,082553277
491;;;;;;
492;;;;;;
493;;;;;;
494;;;;;;
495;;;;;;
496;;;;;;
497;;;;;;
498;;;;;;
499;;;;;;
500;;;;;;
501;;;;;;
502;;;;;;
503;Saint-Damase;Saint-Damase;SDM;0,935871052;0,014359873;0,049769075
504;;;;;;
505;Saint-Amable/Sorel;Saint-Amable/Sorel;SBL;0,030307837;0,145843365;0,823848798
506;;;;;;
507;Aston/Saint-Joseph;Aston;AST;0,942881269;0,012807158;0,044311574
508;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
509;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
510;Corbin;Corbin;CBN;0,931814989;0,017539395;0,050645616
511;Mawcook;Mawcook;MWO;0,561721221;0,024972672;0,413306106
512;;;;;;
513;Bedford;Bedford;BDF;0,667311083;0,045619094;0,287069823
514;Hlne;Sainte-Hlne;SAL;0,206485913;0,623046572;0,170467515
515;;;;;;
516;Saint-Marcel, Providence;Saint-Marcel;MAR;0,870999588;0,040777025;0,088223387
517;;;;;;
518;;;;;;
519;;;;;;
520;;;;;;
521;;;;;;
522;;;;;;
523;;;;;;
524;;;;;;
525;;;;;;
526;;;;;;
527;;;;;;
528;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
529;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
530;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
531;;;;;;
532;;;;;;
533;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
534;;;;;;
535;Courval/Sainte-Rosalie;Courval;CUV;0,862671121;0,041640238;0,095688641
536;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
537;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
538;Bedford;Bedford;BDF;0,667311083;0,045619094;0,287069823
539;;;;;;
540;Kierkoski;Kierkoski;KRY;0,882803555;0,034643168;0,082553277
541;;;;;;
542;;;;;;
543;;;;;;
544;;;;;;
545;;;;;;
546;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
547;Perrot;Perrot;PRO;0,077321882;0,780925844;0,141752274
548;Corbin;Corbin;CBN;0,931814989;0,017539395;0,050645616
549;;;;;;
550;;;;;;
551;;;;;;
552;;;;;;
553;;;;;;
554;;;;;;
555;;;;;;
556;;;;;;
557;;;;;;
558;;;;;;
559;;;;;;
560;;;;;;
561;;;;;;
562;;;;;;
563;;;;;;
564;;;;;;
565;;;;;;
566;;;;;;
567;Du Contour;Du Contour;CTR;0,918542018;0,023165541;0,058292441
568;Du Contour;Du Contour;CTR;0,918542018;0,023165541;0,058292441
569;Du Contour;Du Contour;CTR;0,918542018;0,023165541;0,058292441
570;Du Contour;Du Contour;CTR;0,918542018;0,023165541;0,058292441
571;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
572;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
573;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
574;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
575;;;;;;
576;;;;;;
