ID;ProprieteSol.SerieSol;SerieSol;cansis;m.3a;m.3b;m.3c
83;Sherbrooke;Sherbrooke;SBO;0,672392675;0,129829583;0,197777743
84;Rideau;Rideau;RDU;0,874411089;0,042204903;0,083384008
85;de L'Anse;De L'Anse;DLS;0,985453477;0,002247446;0,012299077
86;;;;;;
87;Saint-Damase;Saint-Damase;SDM;0,935871052;0,014359873;0,049769075
88;Saint-Andr;Saint-Andr;SDR;0,006004132;0,981697484;0,012298383
89;Greensboro;Greensboro;GEB;0,315041291;0,409713634;0,275245075
90;Danby;Danby;DBY;0,011580453;0,968242501;0,020177046
91;Greensboro;Greensboro;GEB;0,315041291;0,409713634;0,275245075
92;Dufferin;Dufferin;DFF;0,724940148;0,037054981;0,238004871
93;Kamouraska;Kamouraska;KRK;0,786087044;0,071093163;0,142819793
94;Kamouraska;Kamouraska;KRK;0,786087044;0,071093163;0,142819793
95;Ormstown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
96;Greensboro;Greensboro;GEB;0,315041291;0,409713634;0,275245075
97;Saint-Laurent;Saint-Laurent;SIE;0,941930743;0,016029952;0,042039305
98;Dufferin;Dufferin;DFF;0,724940148;0,037054981;0,238004871
99;Greensboro;Greensboro;GEB;0,315041291;0,409713634;0,275245075
100;Greensboro;Greensboro;GEB;0,315041291;0,409713634;0,275245075
101;Greensboro;Greensboro;GEB;0,315041291;0,409713634;0,275245075
102;OrmSaintown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
103;Dalhousie;Dalhousie;DHU;0,969510249;0,007481483;0,023008268
104;Howick;Howick;HWC;0,92490656;0,021409713;0,053683728
105;Chicot;Chicot;CHC;0,582748539;0,105026194;0,312225267
106;Racine;Racine;RCI;0,10667757;0,723047694;0,170274736
107;Danby;Danby;DBY;0,011580453;0,968242501;0,020177046
108;Racine;Racine;RCI;0,10667757;0,723047694;0,170274736
109;Magog;Magog;MGO;0,876657611;0,009486249;0,11385614
110;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
111;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
112;Saint-Damase;Saint-Damase;SDM;0,935871052;0,014359873;0,049769075
113;Saint-Damase;Saint-Damase;SDM;0,935871052;0,014359873;0,049769075
114;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
115;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
116;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
117;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
118;Saint-piphane;Saint-piphane;SII;0,009038339;0,004493589;0,986468072
119;Saint-piphane;Saint-piphane;SII;0,009038339;0,004493589;0,986468072
120;Kamouraska;Kamouraska;KRK;0,786087044;0,071093163;0,142819793
121;Kamouraska;Kamouraska;KRK;0,786087044;0,071093163;0,142819793
122;Ivry;Ivry;IVR;0,010774872;0,953055086;0,036170042
123;Ivry;Ivry;IVR;0,010774872;0,953055086;0,036170042
124;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
125;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
126;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
127;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
128;Sainte-Barbe;Sainte-Barbe;SBR;0,654070546;0,092110454;0,253818999
129;Sainte-Barbe;Sainte-Barbe;SBR;0,654070546;0,092110454;0,253818999
130;Saint-Bernard;Saint-Bernard;SBE;0,305067822;0,432609503;0,262322674
131;Saint-Bernard;Saint-Bernard;SBE;0,305067822;0,432609503;0,262322674
132;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
133;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
134;Saint-Sylvre;Saint-Sylvre;SYV;0,099698352;0,030656358;0,86964529
135;Saint-Sylvre;Saint-Sylvre;SYV;0,099698352;0,030656358;0,86964529
136;Sorel+La Baie;Sorel;SOL;0,002169098;0,991903026;0,005927876
137;Sorel+La Baie;Sorel;SOL;0,002169098;0,991903026;0,005927876
138;Saint-Aim;Saint-Aim;SIT;0,921568737;0,012925924;0,065505339
139;Saint-Aim;Saint-Aim;SIT;0,921568737;0,012925924;0,065505339
140;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
141;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
142;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
143;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
144;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
145;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
146;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
147;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
148;Saint-Blaise;Saint-Blaise;SAB;0,855320893;0,032342388;0,112336719
149;Saint-Valentin;Saint-Valentin;SLE;;;
150;Saint-Valentin;Saint-Valentin;SLE;;;
151;Saint-Valentin;Saint-Valentin;SLE;;;
152;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
153;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
154;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
155;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
156;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
157;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
158;La Baie;La Baie;LBI;0,746302118;0,04197764;0,211720242
159;La Baie;La Baie;LBI;0,746302118;0,04197764;0,211720242
160;La Baie;La Baie;LBI;0,746302118;0,04197764;0,211720242
161;Saint-Sylvre;Saint-Sylvre;SYV;0,099698352;0,030656358;0,86964529
162;Saint-Sylvre;Saint-Sylvre;SYV;0,099698352;0,030656358;0,86964529
163;Saint-Sylvre;Saint-Sylvre;SYV;0,099698352;0,030656358;0,86964529
164;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
165;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
166;Du Jour;Du Jour;DJR;0,761231978;0,087279355;0,151488667
167;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
168;Du Jour;Du Jour;DJR;0,761231978;0,087279355;0,151488667
169;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
170;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
171;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
172;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
173;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
174;Pontiac;Pontiac;PTC;0,657636848;0,200129043;0,14223411
175;Pontiac;Pontiac;PTC;0,657636848;0,200129043;0,14223411
176;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
177;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
178;;;;;;
179;;;;;;
180;;;;;;
181;;;;;;
182;;;;;;
183;;;;;;
184;;;;;;
185;;;;;;
186;Chicot;Chicot;CHC;0,582748539;0,105026194;0,312225267
187;OrmSaintown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
188;Bearbrook;Bearbrook;BBO;0,854489433;0,048479504;0,097031063
189;Howick;Howick;HWC;0,92490656;0,021409713;0,053683728
190;Howick;Howick;HWC;0,92490656;0,021409713;0,053683728
191;Chicot;Chicot;CHC;0,582748539;0,105026194;0,312225267
192;OrmSaintown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
193;Bearbrook;Bearbrook;BBO;0,854489433;0,048479504;0,097031063
194;Howick;Howick;HWC;0,92490656;0,021409713;0,053683728
195;Howick;Howick;HWC;0,92490656;0,021409713;0,053683728
196;OrmSaintown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
197;OrmSaintown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
198;Blandford;Blandford;BLF;0,365833812;0,202616613;0,431549575
199;Blandford;Blandford;BLF;0,365833812;0,202616613;0,431549575
200;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
201;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
202;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
203;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
204;Shefford;Shefford;SHF;0,215066429;0,586959102;0,197974469
205;Shefford;Shefford;SHF;0,215066429;0,586959102;0,197974469
206;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
207;OrmSaintown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
208;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
209;OrmSaintown;Ormstown;OMW;0,738919417;0,051384326;0,209696258
210;Saint-Antoine;Saint-Antoine;SNO;0,004884587;0,985602062;0,009513351
211;Saint-Antoine;Saint-Antoine;SNO;0,004884587;0,985602062;0,009513351
212;Saint-Jude ;Saint-Jude ;SJU;0,009862483;0,013479435;0,976658082
213;Saint-Jude ;Saint-Jude ;SJU;0,009862483;0,013479435;0,976658082
214;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
215;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
216;Raimbault;Raimbault;RMB;0,43326424;0,104730713;0,462005047
217;Raimbault;Raimbault;RMB;0,43326424;0,104730713;0,462005047
218;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
219;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
220;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
221;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
222;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
223;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
224;Rideau;Rideau;RDU;0,874411089;0,042204903;0,083384008
225;Rideau;Rideau;RDU;0,874411089;0,042204903;0,083384008
226;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
227;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
228;Melbourne;Melbourne;MLB;0,372466027;0,343641072;0,283892901
229;Melbourne;Melbourne;MLB;0,372466027;0,343641072;0,283892901
230;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
231;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
232;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
233;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
234;Dalhousie;Dalhousie;DHU;0,969510249;0,007481483;0,023008268
235;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
236;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
237;Dupas;Dupas;DUP;0,027275283;0,012101475;0,960623242
238;Dupas;Dupas;DUP;0,027275283;0,012101475;0,960623242
239;Saint-Laurent;Saint-Laurent;SIE;0,941930743;0,016029952;0,042039305
240;Saint-Laurent;Saint-Laurent;SIE;0,941930743;0,016029952;0,042039305
241;Des Saults;Des Saults;DSU;0,89181473;0,009250861;0,098934408
242;Des Saults;Des Saults;DSU;0,89181473;0,009250861;0,098934408
243;Batiscan;Batiscan;BTC;0,168197402;0,481681064;0,350121534
244;Batiscan;Batiscan;BTC;0,168197402;0,481681064;0,350121534
245;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
246;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
247;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
248;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
249;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
250;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
251;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
252;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
253;Rideau;Rideau;RDU;0,874411089;0,042204903;0,083384008
254;Rideau;Rideau;RDU;0,874411089;0,042204903;0,083384008
255;Terrain Farmington;;;;;
256;Terrain Farmington;;;;;
257;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
258;Saint-Jude;Saint-Jude;SJU;0,009862483;0,013479435;0,976658082
259;Sainte Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
260;Sainte Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
261;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
262;Richelieu;Richelieu;RHU;0,996196066;0,000665148;0,003138786
263;Saint-Laurent;Saint-Laurent;SIE;0,941930743;0,016029952;0,042039305
264;Saint-Laurent;Saint-Laurent;SIE;0,941930743;0,016029952;0,042039305
265;Des Saults;Des Saults;DSU;0,89181473;0,009250861;0,098934408
266;Des Saults;Des Saults;DSU;0,89181473;0,009250861;0,098934408
267;Soulange;Soulange;SOG;0,94166848;0,019539494;0,038792026
268;Soulange;Soulange;SOG;0,94166848;0,019539494;0,038792026
269;Du Contour;Du Contour;CTR;0,918542018;0,023165541;0,058292441
270;Du Contour;Du Contour;CTR;0,918542018;0,023165541;0,058292441
271;Sainte-Hlne;Sainte-Hlne;SAL;0,206485913;0,623046572;0,170467515
272;Sainte-Hlne;Sainte-Hlne;SAL;0,206485913;0,623046572;0,170467515
273;Saint-Bernard;Saint-Bernard;SBE;0,305067822;0,432609503;0,262322674
274;Saint-Bernard;Saint-Bernard;SBE;0,305067822;0,432609503;0,262322674
275;Saint-Bernard;Saint-Bernard;SBE;0,305067822;0,432609503;0,262322674
276;Saint-Bernard;Saint-Bernard;SBE;0,305067822;0,432609503;0,262322674
277;Soulange;Soulange;SOG;0,94166848;0,019539494;0,038792026
278;Soulange;Soulange;SOG;0,94166848;0,019539494;0,038792026
279;Michaudville;Michaudville;MCV;0,604649048;0,058306511;0,33704444
280;Michaudville;Michaudville;MCV;0,604649048;0,058306511;0,33704444
281;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
282;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
283;Saint-Damase;Saint-Damase;SDM;0,935871052;0,014359873;0,049769075
284;Saint-Damase;Saint-Damase;SDM;0,935871052;0,014359873;0,049769075
285;Rideau;Rideau;RDU;0,874411089;0,042204903;0,083384008
286;Rideau;Rideau;RDU;0,874411089;0,042204903;0,083384008
287;Terrain Farmington;;;;;
288;Terrain Farmington;;;;;
289;Massueville;Massueville;MSU;0,078319842;0,053518056;0,868162103
