NoEssai;Annee;LongSC;pcpCum;SDI;AWDR;nbPcp1;nbPcp2;nbPcp5;nbPcp10;IhBR;IhKcBR;etpBRcum;etpKcBRcum;tMean;DJCm;DJCb;nb3po3j;nb4po7j;CHUc;cClim;cClimKc;PcpCum_.30;SDI_.30;AWDR_.30;NbPcp1_.30;NbPcp2_.30;NbPcp5_.30;NbPcp10_.30;IhBR_.30;IhKcBR_.30;EtpBRcum_.30;EtpKcBRcum_.30;Tmean_.30;DJCm_.30;DJCb_.30;Nb3po3j_.30;Nb4po7j_.30;CHUc_.30
545;2001;162;457.19;0.73573495;336.37066;58;47;27;19;-31.487192;242.56404;667.30589;133.46118;17.931173;NaN;2094.85;46;38;3393.503;4;4;61.77;0.59567619;36.794918;10;9;3;2;-51.674252;-51.674252;127.82006;127.82006;15.337667;NaN;310.13;8;5;509.43458
546;2002;120;374.45;0.69371923;259.76317;40;33;20;15;-23.937086;280.31457;492.28984;98.457968;16.907083;NaN;1436.535;32;25;2314.3125;1;1;110.4;0.64885958;71.634098;12;8;7;6;45.675554;45.675554;75.78485;75.78485;8.722;NaN;119.345;9;5;198.95295
547;2002;162;484.58;0.6837568;331.33487;51;42;25;18;-22.275627;288.62186;623.45952;124.6919;17.406574;NaN;2011.22;39;35;3228.3395;1;1;121.16;0.63246566;76.62954;12;10;7;5;13.134534;13.134534;107.09374;107.09374;13.0325;NaN;241.065;7;4;405.20231
548;2002;161;465.03;0.68813759;320.00462;50;42;25;17;-23.247071;283.76464;605.87916;121.17583;17.17118;NaN;1965.11;39;35;3180.9122;1;1;172.85;0.62962607;108.83087;13;11;8;6;62.465926;62.465926;106.39154;106.39154;13.3265;NaN;250.54;8;5;416.39946
549;2002;156;417.08;0.67222062;280.36978;46;39;22;14;-28.907698;255.46151;586.67393;117.33479;17.333013;NaN;1940.53;38;35;3155.41;1;1;169.72;0.63944027;108.5258;14;13;7;5;35.253817;35.253817;125.4826;125.4826;15.710333;NaN;321.31;10;10;546.56952
550;2002;165;465.33;0.69619181;323.95894;52;43;25;18;-26.829917;265.85042;635.95663;127.19133;17.051606;NaN;1995.945;42;35;3230.5838;1;1;114.57;0.64586146;73.996347;12;8;7;6;51.555376;51.555376;75.596131;75.596131;8.8168333;NaN;121.935;9;5;202.67888
551;2002;151;413.52;0.67972703;281.08072;46;39;24;14;-27.539305;262.30348;570.6818;114.13636;17.372914;NaN;1885.52;36;29;3023.2809;1;1;185.41;0.66166836;122.67993;15;14;8;5;45.890706;45.890706;127.08829;127.08829;16.4925;NaN;344.775;9;7;573.34704
552;2002;155;417.04;0.68244003;284.60479;48;38;22;15;-31.365189;243.17406;607.62169;121.52434;17.35229;NaN;1915.485;39;31;3113.3046;1;1;120.39;0.64367132;77.49159;13;9;7;5;24.231823;24.231823;96.907537;96.907537;11.518;NaN;196.42;10;6;331.64004
553;2008;85;317.56;0.79624194;252.85459;45;40;22;9;-15.717074;321.41463;376.77857;75.355713;19.004941;NaN;1190.42;29;25;1971.513;4;4;92.22;0.71571088;66.002857;16;13;6;2;-32.423556;-32.423556;136.46767;136.46767;17.740167;NaN;382.205;8;7;631.34984
554;2009;88;312.29;0.78449963;244.99139;42;36;21;9;-15.233467;323.83267;368.41191;73.682381;18.903693;NaN;1223.525;33;25;2032.3758;5;5;124.52;0.70708504;88.046229;14;13;9;4;-2.6011567;-2.6011567;127.84546;127.84546;17.827;NaN;384.81;9;7;648.60902
555;2009;89;296.56;0.75575058;224.12539;38;37;19;10;-19.900058;300.49971;370.23747;74.047495;17.39882;NaN;1103.495;29;27;1848.6675;4;4;80.71;0.58091789;46.885883;10;10;4;3;-28.550213;-28.550213;112.96045;112.96045;13.287333;NaN;248.62;7;8;424.37635
556;2009;89;346.52;0.78301045;271.32878;46;40;20;12;-7.0014237;364.99288;372.60785;74.521571;18.390955;NaN;1191.795;30;29;1977.1887;4;4;78.81;0.6289472;49.567329;11;10;5;3;-34.272092;-34.272092;119.90341;119.90341;14.994;NaN;299.82;6;4;506.5703
557;2009;102;278.99;0.74467618;207.75721;40;35;18;7;-35.629367;221.85317;433.41192;86.682385;19.078235;NaN;1435.98;30;27;2369.3483;4;4;95.26;0.70641365;67.292965;13;13;8;3;-28.532869;-28.532869;133.29204;133.29204;18.595667;NaN;407.87;8;9;679.80617
558;2009;94;291.53;0.76654254;223.47015;42;39;19;9;-27.914429;260.42785;404.42213;80.884426;18.704947;NaN;1288.265;33;30;2124.5422;4;4;70.99;0.62659257;44.481807;11;11;5;2;-40.844005;-40.844005;120.00474;120.00474;15.1955;NaN;305.865;8;9;518.21761
559;2009;104;336.77;0.7622323;256.69697;44;35;24;16;-19.467747;302.66127;418.18028;83.636055;17.652067;NaN;1315.815;31;29;2195.3567;5;5;131.64;0.72940939;96.019453;16;11;9;7;0.076040619;0.076040619;131.53998;131.53998;16.963;NaN;358.89;9;8;605.21014
560;2009;103;336.77;0.76382131;257.2321;44;35;24;16;-18.679681;306.6016;414.12774;82.825548;17.70165;NaN;1308.27;31;28;2182.256;1;1;145.51;0.75240144;109.48193;17;12;10;8;11.936924;11.936924;129.99285;129.99285;17.092333;NaN;362.77;9;7;612.15775
561;2002;149;399.45;0.6694221;267.40066;44;38;21;13;-31.368281;243.15859;582.01952;116.4039;17.95953;NaN;1933.24;36;32;3142.7171;1;1;174.62;0.65911191;115.09412;15;14;7;5;37.768414;37.768414;126.74894;126.74894;16.105333;NaN;333.16;9;9;561.95006
562;2001;150;432.73;0.71840622;310.87592;51;42;25;16;-31.889912;240.55044;635.33907;127.06781;18.3378;NaN;2000.67;40;33;3244.7246;4;4;78.11;0.62381226;48.725976;10;10;4;3;-36.551394;-36.551394;123.10751;123.10751;14.634667;NaN;289.04;6;6;483.90891
563;2001;164;469.79;0.72939022;342.66023;57;48;27;18;-30.087512;249.56244;671.96865;134.39373;17.792256;NaN;2097.93;44;37;3411.0084;4;4;62.35;0.58011471;36.170152;9;9;3;2;-52.566246;-52.566246;131.44648;131.44648;15.160833;NaN;304.825;6;4;511.3941
564;2001;154;437.08;0.74874787;327.26272;57;47;36;15;-30.475622;247.62189;628.67157;125.73431;17.445292;NaN;1916.575;46;41;3142.6702;4;4;82.07;0.66780082;54.806413;12;10;7;4;-33.203053;-33.203053;122.8649;122.8649;13.905;NaN;267.15;8;6;456.24227
565;2002;179;531.65;0.70509884;374.8658;58;47;29;20;-17.942777;310.28611;647.90153;129.58031;16.288715;NaN;2032.365;47;40;3305.9676;1;1;114.57;0.64586146;73.996347;12;8;7;6;51.555376;51.555376;75.596131;75.596131;8.8168333;NaN;121.935;9;5;202.67888
566;2002;151;413.52;0.67972703;281.08072;46;39;24;14;-27.539305;262.30348;570.6818;114.13636;17.372914;NaN;1885.52;36;29;3023.2809;1;1;185.41;0.66166836;122.67993;15;14;8;5;45.890706;45.890706;127.08829;127.08829;16.4925;NaN;344.775;9;7;573.34704
567;1996;141;426.7;0.75984988;324.22795;64;49;26;13;-22.622732;286.88634;551.45395;110.29079;17.784255;NaN;1805.105;44;39;2999.1775;4;4;95.17;0.69595568;66.234102;16;11;6;4;-26.948688;-26.948688;130.27829;130.27829;17.1585;NaN;364.755;8;7;612.77488
568;1997;135;354.71;0.72106534;255.76909;47;41;24;10;-33.767869;231.16065;535.55577;107.11115;17.545111;NaN;1693.59;39;30;2789.971;4;4;59.95;0.52755823;31.627116;9;7;4;2;-60.534512;-60.534512;151.90487;151.90487;17.873167;NaN;386.195;7;5;629.01038
569;2000;115;375.17;0.77643861;291.29647;55;45;26;14;-13.937467;330.31267;435.92721;87.185442;17.563565;NaN;1446.155;41;35;2409.0531;5;5;116.66;0.76389642;89.116156;18;16;9;4;-9.6760278;-9.6760278;129.1573;129.1573;18.083833;NaN;392.515;11;10;653.35553
570;2001;158;433.35;0.73656834;319.19189;56;47;28;17;-34.487433;227.56284;661.47614;132.29523;18.084114;NaN;2067.29;42;38;3351.8231;4;4;61.54;0.60500859;37.232229;10;9;4;2;-51.014132;-51.014132;125.62807;125.62807;15.068667;NaN;302.06;7;6;498.62495
571;1997;156;390.9;0.73597305;287.69186;55;47;26;10;-33.741816;231.29092;589.96486;117.99297;16.442756;NaN;1786.445;46;33;2941.163;4;4;44.3;0.6852914;30.358409;10;8;3;0;-52.586677;-52.586677;93.433653;93.433653;11.045333;NaN;182.735;8;3;305.96978
572;1998;158;475.99;0.75570552;359.70827;58;48;36;17;-23.205965;283.97017;619.82679;123.96536;17.690918;NaN;2005.55;45;43;3307.9562;4;4;51.85;0.59094627;30.640564;9;7;5;2;-62.600209;-62.600209;138.63714;138.63714;16.447;NaN;343.41;5;5;562.34594
573;2001;161;438.79;0.7395711;324.5164;58;49;28;17;-35.132836;224.33582;676.44394;135.28879;17.987981;NaN;2091.065;43;38;3395.4068;4;4;59.74;0.59905919;35.787796;10;9;4;2;-55.052668;-55.052668;132.91112;132.91112;15.31;NaN;309.3;7;4;517.05361
574;2002;159;446.25;0.68245731;304.54657;48;40;24;16;-26.509562;267.45219;607.22185;121.44437;17.244497;NaN;1951.35;38;32;3158.9459;1;1;172.21;0.62853647;108.24027;13;11;8;6;61.462839;61.462839;106.65612;106.65612;13.286667;NaN;249.47;8;5;415.10963
575;1998;175;496.72;0.7742477;384.58432;68;59;34;19;-24.08241;279.58795;654.28842;130.85768;17.400086;NaN;2171.98;52;50;3580.1682;4;4;26.43;0.63302744;16.730915;8;6;0;0;-80.275116;-80.275116;133.99318;133.99318;15.760667;NaN;324.655;5;4;539.05646
576;1998;176;497.37;0.77396971;384.94931;69;59;34;19;-23.775125;281.12437;652.50353;130.50071;17.41483;NaN;2185.14;54;49;3600.0275;4;4;25.8;0.6145658;15.855798;8;6;0;0;-81.31766;-81.31766;138.09833;138.09833;16.077833;NaN;332.335;5;3;553.55735
