NoEssai;Annee;LongSC;pcpCum;SDI;AWDR;nbPcp1;nbPcp2;nbPcp5;nbPcp10;IhBR;IhKcBR;etpBRcum;etpKcBRcum;tMean;DJCm;DJCb;nb3po3j;nb4po7j;CHUc;cClim;cClimKc;PcpCum_.30;SDI_.30;AWDR_.30;NbPcp1_.30;NbPcp2_.30;NbPcp5_.30;NbPcp10_.30;IhBR_.30;IhKcBR_.30;EtpBRcum_.30;EtpKcBRcum_.30;Tmean_.30;DJCm_.30;DJCb_.30;Nb3po3j_.30;Nb4po7j_.30;CHUc_.30
23;1991;134;436.27;0.75002132;327.2118;51;45;28;17;-19.006913;304.96544;538.65091;107.73018;17.861679;NaN;1726.14;39;35;2803.2968;4;4;89.53;0.56028413;50.162238;9;7;5;4;-36.37235;-36.37235;140.70927;140.70927;17.9825;NaN;389.475;5;5;642.36183
24;1971;147;517.29;0.74633681;386.07257;60;51;33;16;1.6480933;408.24047;508.90281;101.78056;16.475714;NaN;1686.93;50;44;2832.0985;4;4;53.65;0.57321189;30.752818;7;6;4;2;-56.839944;-56.839944;124.30475;124.30475;14.166333;NaN;274.99;5;3;464.79897
25;1971;143;400.27;0.71576818;286.50053;52;44;23;15;-30.602069;246.98965;576.77512;115.35502;18.25535;NaN;1895.515;39;36;3103.7311;4;4;49.23;0.5243305;25.81279;8;6;4;1;-63.633035;-63.633035;135.37011;135.37011;15.413667;NaN;312.41;6;3;521.82578
26;1971;160;483.52;0.74518593;360.3123;60;51;34;17;-16.170445;319.14778;576.78941;115.35788;16.572063;NaN;1851.53;48;43;3052.5927;4;4;60.8;0.5757562;35.005977;8;7;5;3;-55.552898;-55.552898;136.79182;136.79182;14.653833;NaN;289.615;6;3;485.25701
27;1971;154;473.93;0.74548615;353.30825;57;50;34;14;-18.559303;307.20349;581.93264;116.38653;17.006331;NaN;1848.975;47;44;3036.0358;4;4;55.66;0.58975975;32.826027;8;7;5;2;-59.581564;-59.581564;137.70943;137.70943;14.876;NaN;296.28;6;3;494.96588
28;1971;152;475.2;0.74642589;354.70158;58;50;31;16;-16.18942;319.0529;566.99286;113.39857;16.786908;NaN;1791.875;48;42;2956.5607;4;4;65.17;0.57172352;37.259222;8;7;5;3;-52.229848;-52.229848;136.4241;136.4241;14.4925;NaN;284.775;6;3;477.89196
29;1971;142;473.42;0.70619587;334.32725;52;45;29;12;-15.735343;321.32329;561.8251;112.36502;18.090775;NaN;1858.89;42;39;3070.5732;4;4;46.99;0.53131862;24.966662;6;5;5;1;-64.910935;-64.910935;133.91636;133.91636;15.333333;NaN;310;5;3;518.7523
30;1971;149;411.72;0.73924376;304.36144;52;47;29;14;-26.803444;265.98278;562.48548;112.4971;17.62047;NaN;1880.45;42;41;3093.3474;4;4;46.32;0.50434475;23.361249;6;5;4;1;-65.459912;-65.459912;134.10504;134.10504;15.319833;NaN;309.595;5;3;516.64697
31;1971;150;453.92;0.75015986;340.51256;57;50;30;15;-21.855358;290.72321;580.87156;116.17431;17.288233;NaN;1843.28;46;43;3018.8642;4;4;54.88;0.57729841;31.682137;8;7;4;2;-60.285716;-60.285716;138.18706;138.18706;14.9745;NaN;299.235;6;3;499.25378
32;1971;142;354.3;0.71853331;254.57635;46;41;22;13;-39.399731;203.00135;584.65087;116.93017;17.727394;NaN;1807.29;39;33;2951.6314;4;4;45.42;0.54381745;24.700189;7;7;4;2;-67.641722;-67.641722;140.36594;140.36594;15.032833;NaN;300.985;4;3;499.24963
33;1971;162;386.03;0.7024674;271.17349;55;41;23;15;-34.672291;226.63854;590.91312;118.18262;17.242191;NaN;1983.235;44;39;3247.5129;4;4;49.38;0.52075182;25.714725;8;6;4;2;-63.452649;-63.452649;135.11239;135.11239;15.366833;NaN;311.005;6;3;518.19626
34;1971;149;513.33;0.71975029;369.46941;57;49;32;13;-8.9672213;355.16389;563.89578;112.77916;17.645537;NaN;1884.185;47;43;3107.4639;4;4;46.99;0.53131862;24.966662;6;5;5;1;-64.911631;-64.911631;133.91902;133.91902;15.333333;NaN;310;5;3;518.7523
35;1971;145;436.25;0.70773987;308.75152;49;41;27;13;-21.544771;292.27615;556.04962;111.20992;18.026172;NaN;1888.795;41;36;3114.2637;4;4;47.39;0.49906086;23.650494;5;5;4;1;-64.171003;-64.171003;132.26717;132.26717;15.508667;NaN;315.26;4;3;526.56638
36;1971;143;522.67;0.7345535;383.92908;55;48;35;17;3.6063838;418.03192;504.47664;100.89533;16.226189;NaN;1605.345;45;37;2702.3742;4;4;43.44;0.51867562;22.531269;7;5;4;1;-65.570694;-65.570694;126.17158;126.17158;14.010667;NaN;270.32;5;2;461.49986
37;1971;142;479.12;0.74669498;357.7565;54;49;30;15;-10.382695;348.08653;534.62889;106.92578;16.821197;NaN;1678.61;44;39;2797.031;4;4;56.38;0.5314886;29.965327;6;6;5;2;-57.785688;-57.785688;133.5566;133.5566;14.439667;NaN;283.19;5;3;478.3127
38;1971;147;516.97;0.71561946;369.95379;56;48;30;15;-6.561099;367.19451;553.27063;110.65413;17.517551;NaN;1840.08;45;43;3039.2907;4;4;35.94;0.50305241;18.079704;5;5;4;1;-73.501004;-73.501004;135.62778;135.62778;15.358667;NaN;310.76;4;2;519.43782
39;1971;158;371.57;0.70225088;260.93536;51;40;21;12;-36.137252;219.31374;581.82589;116.36518;17.210127;NaN;1929.2;40;37;3161.5475;4;4;36.67;0.50775633;18.619425;6;6;3;1;-73.076616;-73.076616;136.2013;136.2013;15.4755;NaN;314.265;5;2;524.27321
40;1971;139;475.3;0.70180534;333.56808;51;43;26;14;-13.420606;332.89697;548.97589;109.79518;17.993849;NaN;1806.145;40;37;2986.895;4;4;35.94;0.50305241;18.079704;5;5;4;1;-73.49957;-73.49957;135.62044;135.62044;15.358667;NaN;310.76;4;2;519.43782
41;1971;149;360.52;0.71918378;259.28014;54;43;24;12;-34.573541;227.13229;551.03089;110.20618;17.42849;NaN;1851.845;42;38;3045.9863;4;4;30.22;0.50439033;15.242676;7;6;2;1;-77.416227;-77.416227;133.81289;133.81289;15.548167;NaN;316.445;6;2;527.16967
42;1971;144;441.26;0.71211182;314.22646;50;42;27;13;-18.240234;308.79883;539.70311;107.94062;17.86375;NaN;1852.38;43;37;3057.3938;4;4;29.47;0.4889945;14.410668;4;4;3;0;-77.891184;-77.891184;133.29524;133.29524;15.62;NaN;318.6;4;2;530.98263
43;1971;156;393.92;0.71775336;282.73741;49;43;24;14;-31.276305;243.61847;573.19386;114.63877;16.822885;NaN;1845.18;42;36;3013.5146;4;4;36.36;0.49460012;17.98366;6;6;3;1;-74.105979;-74.105979;140.41852;140.41852;15.275667;NaN;308.27;6;3;509.2152
44;1972;142;597.42;0.75663295;452.02766;59;50;34;25;12.436208;462.18104;531.34129;106.26826;17.406338;NaN;1761.7;47;38;2940.0722;5;5;136.83;0.60829844;83.233476;9;9;8;7;1.5687002;1.5687002;134.7167;134.7167;16.623;NaN;348.69;6;7;576.79945
45;1972;148;577.24;0.76273299;440.27999;60;54;39;21;10.6879;453.4395;521.50235;104.30047;15.451216;NaN;1549.5;44;44;2587.3818;4;4;101.81;0.61121352;62.227649;10;10;7;5;-25.737334;-25.737334;137.09446;137.09446;15.390333;NaN;311.71;6;7;509.66731
46;1972;152;513.77;0.7715604;396.40459;61;53;36;17;-7.0261809;364.8691;552.59642;110.51928;16.416382;NaN;1745.575;47;41;2922.5922;5;5;120.24;0.65153035;78.340009;10;10;9;6;-11.679003;-11.679003;136.13977;136.13977;16.226833;NaN;336.805;7;7;559.37623
47;1972;151;647.48;0.74711527;483.7422;60;51;37;27;21.481312;507.40656;532.98733;106.59747;16.737384;NaN;1780.195;49;39;2969.9778;5;5;125.38;0.61717181;77.381001;9;9;8;8;-6.3177081;-6.3177081;133.83533;133.83533;16.618167;NaN;348.545;7;7;577.46508
48;1972;144;537.53;0.75711231;406.97058;61;56;32;20;6.7858957;433.92948;503.37172;100.67434;17.001181;NaN;1734.385;46;42;2890.8652;5;5;136.02;0.66295512;90.175156;12;12;9;6;4.0279359;4.0279359;130.75334;130.75334;17.216;NaN;366.48;7;7;607.80997
49;1972;154;546.26;0.79590839;434.77292;67;59;43;22;22.873157;514.36578;444.57228;88.914457;13.385227;NaN;1367.64;58;50;2344.5895;5;5;109.25;0.6844166;74.772513;11;10;9;6;-9.909065;-9.909065;121.26636;121.26636;15.040167;NaN;301.205;8;6;513.527
50;1972;153;668.8;0.7556111;505.3527;63;55;37;27;33.654657;568.27328;500.39409;100.07882;16.063922;NaN;1721.18;50;39;2870.8089;5;5;143.36;0.6636027;95.134083;11;10;9;9;9.6894931;9.6894931;130.6962;130.6962;17.428333;NaN;372.85;8;4;618.85421
51;1972;145;436.24;0.74085814;323.19196;56;44;27;15;-16.180843;319.09578;520.45382;104.09076;15.850069;NaN;1581.55;43;34;2652.6603;4;4;105.18;0.61455037;64.638408;12;9;7;4;-23.791973;-23.791973;138.01696;138.01696;15.779167;NaN;323.375;10;7;542.16125
52;1972;89;420.03;0.76803967;322.5997;42;36;26;15;12.175377;460.87688;374.44046;74.888093;18.718652;NaN;1220.96;29;27;2027.6376;1;1;145.96;0.71550885;104.43567;13;12;10;6;13.15723;13.15723;128.98866;128.98866;17.694;NaN;380.82;8;7;633.89624
53;1972;88;420.03;0.76997799;323.41386;42;36;26;15;13.497918;467.48959;370.07727;74.015455;18.672045;NaN;1203.14;29;27;1999.4045;1;1;145.96;0.71550885;104.43567;13;12;10;6;13.15723;13.15723;128.98866;128.98866;17.694;NaN;380.82;8;7;633.89624
54;1973;75;270.2;0.74045482;200.07089;31;29;17;11;-21.5431;292.2845;344.39291;68.878582;20.312267;NaN;1148.42;22;18;1859.4723;5;5;136.58;0.77090937;105.2908;17;15;9;6;6.5920346;6.5920346;128.1334;128.1334;17.657;NaN;379.71;10;7;628.87287
55;1973;71;250.06;0.72552666;181.4252;29;27;16;11;-25.425109;272.87446;335.31393;67.062786;21.35169;NaN;1160.97;21;20;1863.4982;5;5;144.76;0.69315226;100.34072;15;13;9;7;3.0884661;3.0884661;140.42308;140.42308;20.160167;NaN;454.805;11;7;738.32885
56;1973;71;137.67;0.78885346;108.60146;32;22;8;4;-31.36017;243.19915;200.56868;40.113736;12.328028;NaN;520.895;20;17;857.33098;4;4;66.97;0.81926492;54.866171;17;12;4;1;-21.240841;-21.240841;85.03138;85.03138;10.866167;NaN;176.59;10;9;285.18242
57;1974;78;259.43;0.73080399;189.59248;32;26;16;11;-24.607046;276.96477;344.10378;68.820755;17.939679;NaN;1009.295;24;19;1692.8156;4;4;101.49;0.68189837;69.205865;13;11;6;4;-25.380625;-25.380625;136.01025;136.01025;17.156667;NaN;364.7;7;7;613.89519
58;1974;74;224.77;0.68771306;154.57727;26;21;15;7;-31.757337;241.21332;329.36874;65.873748;19.668919;NaN;1085.5;19;15;1800.2944;4;4;76.07;0.63887987;48.599592;12;7;5;2;-42.999927;-42.999927;133.45597;133.45597;18.7675;NaN;413.025;8;5;692.86389
59;1974;79;255.6;0.69933203;178.74927;28;23;15;11;-28.226437;258.86781;356.11998;71.223997;19.953608;NaN;1181.335;22;18;1949.0165;4;4;70.33;0.64947679;45.677703;11;7;4;4;-48.414144;-48.414144;136.33582;136.33582;18.968667;NaN;419.06;7;4;699.55781
60;1974;73;246.37;0.69760019;171.86776;26;22;14;11;-24.968174;275.15913;328.354;65.670799;19.916712;NaN;1088.92;21;17;1801.4191;4;4;70.33;0.64947679;45.677703;11;7;4;4;-48.414144;-48.414144;136.33582;136.33582;18.968667;NaN;419.06;7;4;699.55781
